ROW_INDEX,NV_APL_DATE,NV_DAY_NUM,NV_PEOPLE_NUM,NV_PLACE_NM
項目,申請入山日期,天數,人數,前往山域
1,107年01月01日,1,2,合歡北峰(南投縣仁愛鄉)
2,107年01月01日,1,1,合歡北峰(南投縣仁愛鄉)
3,107年01月01日,1,2,合歡北峰(南投縣仁愛鄉)
4,107年01月01日,1,4,合歡北峰(南投縣仁愛鄉)
5,107年01月01日,1,1,檜谷山莊(屏東縣泰武鄉)
6,107年01月01日,1,4,雪山主東峰(臺中市和平區)
7,107年01月01日,1,9,鳶嘴山(臺中市和平區)
8,107年01月01日,1,2,鳶嘴山(臺中市和平區)
9,107年01月01日,1,2,稍來山(臺中市和平區)
10,107年01月01日,1,3,鳶嘴山(臺中市和平區)/稍來山(臺中市和平區)
11,107年01月01日,1,3,檜谷山莊(屏東縣泰武鄉)
12,107年01月01日,1,2,鳶嘴山(臺中市和平區)
13,107年01月01日,1,12,錐麓古道(花蓮縣秀林鄉)
14,107年01月01日,1,2,鳶嘴山(臺中市和平區)
15,107年01月01日,1,2,鳶嘴山(臺中市和平區)
16,107年01月01日,1,3,鳶嘴山(臺中市和平區)
17,107年01月01日,1,3,鳶嘴山(臺中市和平區)
18,107年01月01日,1,5,鳶嘴山(臺中市和平區)
19,107年01月01日,1,8,東洗水山(苗栗縣泰安鄉)
20,107年01月01日,1,8,雪見(苗栗縣泰安鄉)
21,107年01月01日,1,16,雪見(苗栗縣泰安鄉)
22,107年01月01日,1,2,鳶嘴山(臺中市和平區)
23,107年01月01日,2,1,玉山主峰(嘉義縣阿里山鄉)
24,107年01月01日,2,1,郡大山(南投縣信義鄉)
25,107年01月01日,1,2,錐麓古道(花蓮縣秀林鄉)
26,107年01月01日,1,3,鳶嘴山(臺中市和平區)
27,107年01月01日,1,5,鳶嘴山(臺中市和平區)/稍來山(臺中市和平區)
28,107年01月01日,1,2,鳶嘴山(臺中市和平區)/稍來山(臺中市和平區)
29,107年01月01日,1,2,郡大林道(南投縣信義鄉)
30,107年01月01日,1,3,塔蔓山(桃園市復興區)
31,107年01月01日,1,1,瓦拉米(花蓮縣卓溪鄉)
32,107年01月01日,1,2,鳶嘴山(臺中市和平區)
33,107年01月01日,1,2,鳶嘴山(臺中市和平區)
34,107年01月01日,1,11,大漢山(屏東縣春日鄉)
35,107年01月01日,1,2,鳶嘴山(臺中市和平區)
36,107年01月01日,1,3,雪見(苗栗縣泰安鄉)
37,107年01月01日,1,5,錐麓古道(花蓮縣秀林鄉)
38,107年01月01日,1,5,雪見(苗栗縣泰安鄉)
39,107年01月01日,2,2,瓦拉米(花蓮縣卓溪鄉)
40,107年01月01日,1,5,日湯真山(屏東縣泰武鄉)
41,107年01月01日,1,2,檜谷山莊(屏東縣泰武鄉)
42,107年01月01日,2,2,檜谷山莊(屏東縣泰武鄉)
43,107年01月01日,1,3,鳶嘴山(臺中市和平區)
44,107年01月01日,1,2,鳶嘴山(臺中市和平區)
45,107年01月01日,1,5,塔蔓山(桃園市復興區)
46,107年01月01日,1,3,雪見(苗栗縣泰安鄉)
47,107年01月01日,2,4,瓦拉米(花蓮縣卓溪鄉)
48,107年01月01日,1,4,鳶嘴山(臺中市和平區)
49,107年01月01日,1,2,鳶嘴山(臺中市和平區)
50,107年01月01日,1,4,雪山主東峰(臺中市和平區)
51,107年01月01日,2,1,北大武山(屏東縣泰武鄉)
52,107年01月01日,1,2,雪見(苗栗縣泰安鄉)
53,107年01月01日,1,7,雪見(苗栗縣泰安鄉)
54,107年01月01日,1,1,綠水文山步道(花蓮縣秀林鄉)
55,107年01月01日,2,3,玉山主峰(嘉義縣阿里山鄉)
56,107年01月01日,1,2,綠水文山步道(花蓮縣秀林鄉)
57,107年01月01日,1,1,稍來山(臺中市和平區)
58,107年01月01日,1,2,雪見(苗栗縣泰安鄉)
59,107年01月01日,1,2,郡大山 、西巒大山(南投縣信義鄉)
60,107年01月01日,1,4,雪見(苗栗縣泰安鄉)
61,107年01月01日,1,3,雪見(苗栗縣泰安鄉)
62,107年01月01日,1,4,雪見(苗栗縣泰安鄉)
63,107年01月01日,1,1,北大武山(屏東縣泰武鄉)
64,107年01月01日,1,1,錐麓古道(花蓮縣秀林鄉)
65,107年01月01日,1,2,大同山區(花蓮縣秀林鄉)
66,107年01月01日,5,4,玉山群峰(嘉義縣阿里山鄉)
67,107年01月01日,2,1,西巒大山(南投縣信義鄉)
68,107年01月01日,1,1,綠水文山步道(花蓮縣秀林鄉)
69,107年01月01日,2,2,奇萊南峰 、南華山(南投縣仁愛鄉)
70,107年01月01日,1,1,畢祿山(南投縣仁愛鄉)/羊頭山(花蓮縣秀林鄉)
71,107年01月01日,2,2,玉山南峰(高雄市桃源區)/東小南山(高雄市桃源區)
72,107年01月01日,1,5,北大武山(屏東縣泰武鄉)
73,107年01月01日,1,6,羊頭山(花蓮縣秀林鄉)
74,107年01月01日,2,6,玉山主北峰(嘉義縣阿里山鄉)/玉山主北峰(南投縣信義鄉)/玉山主峰(嘉義縣阿里山鄉)
75,107年01月01日,2,1,奇萊南峰 、南華山(南投縣仁愛鄉)
76,107年01月01日,1,3,雪山主東峰(臺中市和平區)
77,107年01月01日,2,6,松蘿湖(宜蘭縣大同鄉)
78,107年01月01日,1,2,200林道(臺中市和平區)
79,107年01月01日,2,7,瓦拉米(花蓮縣卓溪鄉)
80,107年01月01日,1,3,錐麓古道(花蓮縣秀林鄉)
81,107年01月01日,3,4,錐麓古道(花蓮縣秀林鄉)
82,107年01月01日,1,2,錐麓古道(花蓮縣秀林鄉)
83,107年01月01日,2,3,水樣森林(嘉義縣阿里山鄉)
84,107年01月01日,3,17,北大武山(屏東縣泰武鄉)
85,107年01月01日,1,5,綠水文山步道(花蓮縣秀林鄉)
86,107年01月01日,1,1,北插天山(桃園市復興區)
87,107年01月01日,1,4,北大武山(屏東縣泰武鄉)
88,107年01月01日,1,8,檜谷山莊(屏東縣泰武鄉)
89,107年01月01日,2,7,加羅湖(宜蘭縣大同鄉)
90,107年01月01日,3,1,合歡西峰(南投縣仁愛鄉)/合歡北峰(南投縣仁愛鄉)/合歡群峰(南投縣仁愛鄉)
91,107年01月01日,1,2,西巒大山(南投縣信義鄉)
92,107年01月01日,1,4,北大武山(屏東縣泰武鄉)
93,107年01月01日,1,2,西巒大山(南投縣信義鄉)
94,107年01月01日,1,2,北插天山(桃園市復興區)
95,107年01月01日,1,1,北大武山(屏東縣泰武鄉)
96,107年01月01日,1,1,北大武山(屏東縣泰武鄉)
97,107年01月01日,2,2,奇萊南峰 、南華山(南投縣仁愛鄉)
98,107年01月01日,3,4,奇萊南峰 、南華山(南投縣仁愛鄉)/天池(南投縣仁愛鄉)/屯原(南投縣仁愛鄉)/能高越嶺(南投縣仁愛鄉)
99,107年01月01日,1,6,錐麓古道(花蓮縣秀林鄉)
100,107年01月01日,1,1,北大武山(屏東縣泰武鄉)
101,107年01月01日,6,2,北三段(南投縣仁愛鄉)
102,107年01月01日,2,2,北大武山(屏東縣泰武鄉)
103,107年01月01日,3,3,奇萊南峰 、南華山(南投縣仁愛鄉)
104,107年01月01日,3,13,北大武山(屏東縣泰武鄉)
105,107年01月01日,2,1,瓦拉米(花蓮縣卓溪鄉)
106,107年01月01日,1,4,錐麓古道(花蓮縣秀林鄉)
107,107年01月01日,1,2,北大武山(屏東縣泰武鄉)
108,107年01月01日,2,4,南華山(南投縣仁愛鄉)/奇萊南峰 、南華山(南投縣仁愛鄉)
109,107年01月01日,1,3,八仙山(臺中市和平區)
110,107年01月01日,2,2,奇萊南峰 、南華山(南投縣仁愛鄉)
111,107年01月01日,2,4,奇萊南峰 、南華山(南投縣仁愛鄉)
112,107年01月01日,5,2,南湖大山(臺中市和平區)
113,107年01月01日,2,6,玉山群峰(嘉義縣阿里山鄉)
114,107年01月01日,2,5,加羅湖(宜蘭縣大同鄉)
115,107年01月01日,1,1,北大武山(屏東縣泰武鄉)
116,107年01月01日,2,2,北大武山(屏東縣泰武鄉)
117,107年01月01日,1,1,北大武山(屏東縣泰武鄉)
118,107年01月01日,2,3,合歡西北峰(南投縣仁愛鄉)
119,107年01月01日,1,2,北大武山(屏東縣泰武鄉)
120,107年01月01日,2,1,北大武山(屏東縣泰武鄉)
121,107年01月01日,1,9,郡大山(南投縣信義鄉)
122,107年01月01日,1,2,北二段(花蓮縣秀林鄉)
123,107年01月01日,3,2,松蘿湖(宜蘭縣大同鄉)
124,107年01月01日,1,11,郡大山(南投縣信義鄉)
125,107年01月01日,1,5,錐麓古道(花蓮縣秀林鄉)
126,107年01月01日,1,3,錐麓古道(花蓮縣秀林鄉)
127,107年01月01日,1,3,日湯真山(屏東縣泰武鄉)
128,107年01月01日,3,3,大霸群峰(苗栗縣泰安鄉)
129,107年01月01日,1,1,北大武山(屏東縣泰武鄉)
130,107年01月02日,1,2,北大武山(屏東縣泰武鄉)
131,107年01月02日,1,307,霧台村(屏東縣霧臺鄉)
132,107年01月02日,1,2,鳶嘴山(臺中市和平區)
133,107年01月02日,1,302,霧台村(屏東縣霧臺鄉)
134,107年01月02日,1,2,檜谷山莊(屏東縣泰武鄉)
135,107年01月02日,1,300,霧台村(屏東縣霧臺鄉)
136,107年01月02日,1,413,霧台村(屏東縣霧臺鄉)
137,107年01月02日,1,2,鳶嘴山(臺中市和平區)
138,107年01月02日,1,1,錐麓古道(花蓮縣秀林鄉)
139,107年01月02日,1,2,稍來山(臺中市和平區)
140,107年01月02日,1,3,錐麓古道(花蓮縣秀林鄉)
141,107年01月02日,1,5,鳶嘴山(臺中市和平區)
142,107年01月02日,1,5,鳶嘴山(臺中市和平區)
143,107年01月02日,2,1,玉山主峰(嘉義縣阿里山鄉)
144,107年01月02日,1,1,錐麓古道(花蓮縣秀林鄉)
145,107年01月02日,1,2,綠水文山步道(花蓮縣秀林鄉)
146,107年01月02日,1,2,鳶嘴山(臺中市和平區)
147,107年01月02日,1,3,錐麓古道(花蓮縣秀林鄉)
148,107年01月02日,1,3,錐麓古道(花蓮縣秀林鄉)
149,107年01月02日,1,2,綠水文山步道(花蓮縣秀林鄉)
150,107年01月02日,2,2,雲海(南投縣仁愛鄉)
151,107年01月02日,1,18,轆轆溫泉(臺東縣海端鄉)
152,107年01月02日,1,1,稍來山(臺中市和平區)
153,107年01月02日,1,3,稍來山(臺中市和平區)
154,107年01月02日,3,1,北大武山(屏東縣泰武鄉)/檜谷山莊(屏東縣泰武鄉)/日湯真山(屏東縣泰武鄉)
155,107年01月02日,1,2,雪見(苗栗縣泰安鄉)
156,107年01月02日,6,2,南湖大山(宜蘭縣大同鄉)
157,107年01月02日,1,3,瓦拉米(花蓮縣卓溪鄉)
158,107年01月02日,1,2,鳶嘴山(臺中市和平區)
159,107年01月02日,1,3,綠水文山步道(花蓮縣秀林鄉)
160,107年01月02日,1,1,鳶嘴山(臺中市和平區)
161,107年01月02日,1,2,鳶嘴山(臺中市和平區)
162,107年01月02日,7,7,臺東縣延平鄉各村(臺東縣延平鄉)
163,107年01月02日,11,7,宜蘭縣南澳鄉各村(宜蘭縣南澳鄉)
164,107年01月02日,2,5,精英溫泉(南投縣仁愛鄉)
165,107年01月02日,1,1,栗松溫泉(臺東縣海端鄉)
166,107年01月02日,1,2,鳶嘴山(臺中市和平區)
167,107年01月02日,1,1,綠水文山步道(花蓮縣秀林鄉)
168,107年01月02日,1,2,錐麓古道(花蓮縣秀林鄉)
169,107年01月02日,2,2,大同部落(花蓮縣秀林鄉)
170,107年01月02日,1,4,檜谷山莊(屏東縣泰武鄉)
171,107年01月02日,1,4,錐麓古道(花蓮縣秀林鄉)
172,107年01月02日,1,4,羊頭山(花蓮縣秀林鄉)
173,107年01月02日,1,2,錐麓古道(花蓮縣秀林鄉)
174,107年01月02日,1,2,浸水營古道(屏東縣春日鄉)
175,107年01月02日,1,2,綠水文山步道(花蓮縣秀林鄉)
176,107年01月02日,1,3,錐麓古道(花蓮縣秀林鄉)
177,107年01月02日,1,2,綠水文山步道(花蓮縣秀林鄉)
178,107年01月02日,1,2,錐麓古道(花蓮縣秀林鄉)
179,107年01月02日,1,2,綠水文山步道(花蓮縣秀林鄉)
180,107年01月02日,1,2,綠水文山步道(花蓮縣秀林鄉)
181,107年01月02日,1,1,鳶嘴山(臺中市和平區)
182,107年01月02日,1,5,八仙山(臺中市和平區)
183,107年01月02日,2,3,太加縱走(宜蘭縣大同鄉)
184,107年01月02日,1,1,馬陵溫泉(臺中市和平區)
185,107年01月02日,2,1,白姑大山(臺中市和平區)/白姑大山(南投縣仁愛鄉)
186,107年01月02日,3,8,北大武山(屏東縣泰武鄉)
187,107年01月02日,3,53,北大武山(屏東縣泰武鄉)
188,107年01月02日,1,19,浸水營古道(屏東縣春日鄉)/浸水營古道(臺東縣大武鄉)
189,107年01月02日,4,2,郡大山(南投縣信義鄉)/駒盆山(南投縣信義鄉)
190,107年01月02日,1,2,錐麓古道(花蓮縣秀林鄉)
191,107年01月02日,2,4,北大武山(屏東縣泰武鄉)
192,107年01月02日,4,1,玉山群峰(嘉義縣阿里山鄉)
193,107年01月02日,2,1,玉山群峰(嘉義縣阿里山鄉)
194,107年01月02日,1,1,檜谷山莊(屏東縣泰武鄉)
195,107年01月02日,2,1,玉山主峰(嘉義縣阿里山鄉)
196,107年01月02日,1,8,錐麓古道(花蓮縣秀林鄉)
197,107年01月02日,1,3,北大武山(屏東縣泰武鄉)
198,107年01月02日,3,7,巴博庫魯山(桃園市復興區)/北插天山(桃園市復興區)
199,107年01月02日,1,2,西巒大山(南投縣信義鄉)
200,107年01月02日,2,8,法治村(南投縣仁愛鄉)
201,107年01月02日,2,2,鳶嘴山(臺中市和平區)/稍來山(臺中市和平區)/橫嶺山(臺中市和平區)
202,107年01月02日,1,2,瓦拉米(花蓮縣卓溪鄉)
203,107年01月02日,1,2,瓦拉米(花蓮縣卓溪鄉)
204,107年01月02日,1,8,114林班地(臺中市和平區)
205,107年01月02日,1,3,北插天山(桃園市復興區)
206,107年01月02日,7,3,向陽山(高雄市桃源區)/雲峰(高雄市桃源區)/大水窟山(南投縣信義鄉)/達芬尖山(高雄市桃源區)/八通關山(南投縣信義鄉)/秀姑巒山(花蓮縣卓溪鄉)
207,107年01月02日,2,1,北大武山(屏東縣泰武鄉)
208,107年01月02日,2,4,奇萊南峰 、南華山(南投縣仁愛鄉)
209,107年01月02日,1,1,北大武山(屏東縣泰武鄉)
210,107年01月02日,2,2,奇萊南峰 、南華山(南投縣仁愛鄉)
211,107年01月02日,1,3,北大武山(屏東縣泰武鄉)
212,107年01月02日,1,3,北大武山(屏東縣泰武鄉)
213,107年01月02日,3,5,北大武山(屏東縣泰武鄉)
214,107年01月02日,5,2,玉山群峰(嘉義縣阿里山鄉)/玉山群峰(南投縣信義鄉)/玉山群峰(高雄市桃源區)
215,107年01月02日,1,1,玉山前峰(嘉義縣阿里山鄉)
216,107年01月02日,2,1,雪山主東峰(臺中市和平區)
217,107年01月02日,2,6,武陵四秀(臺中市和平區)
218,107年01月02日,1,5,浸水營古道(屏東縣春日鄉)
219,107年01月02日,2,6,北大武山(屏東縣泰武鄉)
220,107年01月02日,3,6,大霸群峰(苗栗縣泰安鄉)
221,107年01月02日,1,10,玉山前峰(嘉義縣阿里山鄉)
222,107年01月02日,3,6,雪山主東峰(臺中市和平區)
223,107年01月02日,1,10,北大武山(屏東縣泰武鄉)
224,107年01月02日,1,2,北大武山(屏東縣泰武鄉)
225,107年01月02日,2,4,西巒大山(南投縣信義鄉)
226,107年01月02日,1,3,檜谷山莊(屏東縣泰武鄉)
227,107年01月02日,1,6,錐麓古道(花蓮縣秀林鄉)
228,107年01月02日,1,1,錐麓古道(花蓮縣秀林鄉)
229,107年01月02日,1,9,小烏來(桃園市復興區)/北插天山(桃園市復興區)
230,107年01月02日,1,2,玉山前峰(嘉義縣阿里山鄉)
231,107年01月02日,1,4,郡大林道(南投縣信義鄉)
232,107年01月02日,2,4,雪山主東峰(臺中市和平區)
233,107年01月02日,3,1,雪山主東峰(臺中市和平區)
234,107年01月02日,3,6,翠池(苗栗縣泰安鄉)/雪山主東峰(臺中市和平區)/雪山北峰(苗栗縣泰安鄉)
235,107年01月02日,2,6,合歡北峰(南投縣仁愛鄉)/合歡西峰(南投縣仁愛鄉)
236,107年01月02日,1,1,西巒大山(南投縣信義鄉)
237,107年01月02日,2,3,松蘿湖(宜蘭縣大同鄉)
238,107年01月02日,2,2,北大武山(屏東縣泰武鄉)
239,107年01月02日,1,3,北大武山(屏東縣泰武鄉)
240,107年01月02日,1,2,馬陵溫泉(臺中市和平區)
241,107年01月02日,2,2,奇萊主山(南投縣仁愛鄉)
242,107年01月02日,2,2,奇萊南峰 、南華山(南投縣仁愛鄉)
243,107年01月02日,7,1,檜谷山莊(屏東縣泰武鄉)
244,107年01月02日,4,2,南湖群峰(臺中市和平區)/南湖群峰(宜蘭縣大同鄉)/南湖群峰(花蓮縣秀林鄉)
245,107年01月02日,1,1,北大武山(屏東縣泰武鄉)
246,107年01月02日,1,3,玉山前峰(嘉義縣阿里山鄉)
247,107年01月02日,1,3,玉山前峰(嘉義縣阿里山鄉)
248,107年01月02日,2,2,瓦拉米(花蓮縣卓溪鄉)
249,107年01月02日,1,8,北大武山(屏東縣泰武鄉)
250,107年01月02日,1,2,錐麓古道(花蓮縣秀林鄉)
251,107年01月02日,1,3,錐麓古道(花蓮縣秀林鄉)
252,107年01月02日,1,2,阿冷山(臺中市和平區)
253,107年01月02日,1,8,玉山前峰(嘉義縣阿里山鄉)
254,107年01月02日,1,2,北大武山(屏東縣泰武鄉)
255,107年01月02日,2,21,奇萊南峰 、南華山(南投縣仁愛鄉)
256,107年01月02日,1,2,北大武山(屏東縣泰武鄉)
257,107年01月02日,1,2,錐麓古道(花蓮縣秀林鄉)
258,107年01月02日,1,1,錐麓古道(花蓮縣秀林鄉)
259,107年01月02日,1,1,錐麓古道(花蓮縣秀林鄉)
260,107年01月02日,1,1,北大武山(屏東縣泰武鄉)
261,107年01月02日,1,1,白姑大山(臺中市和平區)/白姑大山(南投縣仁愛鄉)
262,107年01月02日,3,2,北大武山(屏東縣泰武鄉)
263,107年01月02日,1,10,郡大山(南投縣信義鄉)
264,107年01月02日,1,5,錐麓古道(花蓮縣秀林鄉)
265,107年01月02日,4,30,屯原(南投縣仁愛鄉)
266,107年01月02日,2,4,雪山主東峰(臺中市和平區)
267,107年01月02日,1,5,北大武山(屏東縣泰武鄉)
268,107年01月02日,1,3,錐麓古道(花蓮縣秀林鄉)
269,107年01月02日,1,1,錐麓古道(花蓮縣秀林鄉)
270,107年01月02日,2,5,瓦拉米(花蓮縣卓溪鄉)
271,107年01月02日,1,1,玉山前峰(嘉義縣阿里山鄉)
272,107年01月02日,1,16,松蘿湖(宜蘭縣大同鄉)
273,107年01月02日,3,5,大霸群峰(苗栗縣泰安鄉)
274,107年01月02日,2,12,瓦拉米(花蓮縣卓溪鄉)
275,107年01月02日,2,2,瓦拉米(花蓮縣卓溪鄉)
276,107年01月02日,1,2,錐麓古道(花蓮縣秀林鄉)
277,107年01月02日,1,1,西巒大山(南投縣信義鄉)
278,107年01月02日,1,4,雪山主東峰(臺中市和平區)
279,107年01月02日,1,1,郡大山(南投縣信義鄉)
280,107年01月02日,1,1,郡大山(南投縣信義鄉)
281,107年01月02日,1,1,錐麓古道(花蓮縣秀林鄉)
282,107年01月02日,1,3,錐麓古道(花蓮縣秀林鄉)
283,107年01月02日,1,5,錐麓古道(花蓮縣秀林鄉)
